Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Wins,Draws,Losses,Points,Goal Difference,Position,Home Expected,Away Expected,Side Home Expected,Side Away Expected,Form Home Expected,Form Away Expected,Away Wins,Away Draws,Away Losses,Away Points,Away Goal Difference,Away Position,League Home Goals Avg,League Away Goals Avg,Home Off Performance,Away Off Performance,Side Home Off Performance,Side Away Off Performance,Form Home Off Performance,Form Away Off Performance,Home Def Performance,Away Def Performance,Side Home Def Performance,Side Away Def Performance,Form Home Def Performance,Form Away Def Performance
2008-10-25,Juventus,Torino,1,0,H,0.4,0.75,0.25,0.49999999999999994,0.5294117647058824,0.5789473684210527,1.2142857142857144,0.9285714285714285,1.1666666666666665,0.8333333333333334,1.4,0.8,0.2,0.5,0.75,0.21428571428571425,0.29411764705882354,0.8421052631578947,1.457142857142857,0.8428571428571429,0.74,0.4121212121212121,0.746031746031746,0.6666666666666666,0.7440404040404041,0.4121212121212121,1.1,1.5596103896103897,1.5555555555555554,1.0555555555555556,1.1,1.5414285714285714
2008-10-25,Siena,Catania,1,1,D,0.4,0.5,0.5,0.42857142857142855,0.5294117647058824,0.631578947368421,0.6428571428571428,0.9285714285714285,1.1666666666666665,0.4999999999999999,0.49999999999999994,1.0,0.8,0.5,0.0,0.8571428571428572,0.7647058823529411,0.10526315789473684,1.457142857142857,0.8428571428571429,0.6618181818181819,1.3634920634920635,0.8333333333333334,1.2666666666666666,0.6618181818181819,1.4206349206349207,0.8512820512820513,0.5733333333333334,0.0,1.1555555555555557,0.8333333333333333,0.5733333333333334
2008-10-26,Atalanta,Milan,0,1,A,0.8,0.25,0.25,0.7857142857142856,0.6470588235294118,0.21052631578947367,1.0,1.2142857142857144,1.5,0.6666666666666665,0.8,1.6,0.8,0.25,0.25,0.7857142857142856,0.8235294117647058,0.3157894736842105,1.4444444444444444,0.8333333333333334,1.4361904761904762,2.4281818181818187,1.8888888888888886,1.3333333333333333,1.43003663003663,2.406753246753247,1.9238095238095236,0.25142857142857145,0.6666666666666666,0.8888888888888888,1.9428571428571426,0.25142857142857145
2008-10-26,Cagliari,Chievo,2,0,H,0.2,0.25,1.0,0.14285714285714285,0.05882352941176472,0.894736842105263,0.7857142857142857,1.0714285714285714,0.8333333333333333,0.9999999999999999,0.7,0.7,0.2,0.75,0.5,0.2857142857142857,0.29411764705882354,0.7894736842105263,1.4444444444444444,0.8333333333333334,0.2181818181818182,0.5980952380952381,0.3333333333333333,0.6666666666666666,0.2,0.6171428571428571,0.5242424242424242,1.0711111111111111,1.4666666666666668,1.1555555555555557,0.5242424242424242,1.064957264957265
2008-10-26,Inter,Genoa,0,0,D,1.0,0.25,0.0,1.0,1.0,0.0,1.4285714285714288,1.0714285714285714,1.5,0.5,1.5999999999999999,1.1,0.8,0.0,0.5,0.7142857142857142,0.7058823529411764,0.42105263157894735,1.4444444444444444,0.8333333333333334,1.570420168067227,1.498901098901099,1.3333333333333333,0.6666666666666666,1.539047619047619,1.4809523809523808,0.6266666666666667,1.0622077922077922,0.7777777777777777,0.9333333333333332,0.6266666666666667,1.0622077922077922
2008-10-26,Lazio,Napoli,0,1,A,0.8,0.25,0.25,0.7857142857142856,0.8235294117647058,0.3684210526315789,1.5714285714285716,1.4285714285714286,1.5,0.6666666666666666,1.4,1.6,0.8,0.5,0.0,0.8571428571428572,0.7058823529411764,0.10526315789473684,1.4444444444444444,0.8333333333333334,0.9754589371980675,1.209090909090909,1.3148148148148149,1.3071428571428572,0.9822222222222221,1.209090909090909,2.6472727272727274,1.034848484848485,0.3333333333333333,0.7794117647058824,2.7844155844155845,1.038888888888889
2008-10-26,Palermo,Fiorentina,1,3,A,0.8,0.0,0.5,0.7142857142857142,0.5294117647058824,0.5263157894736843,1.1428571428571428,1.3571428571428568,1.8333333333333335,0.8333333333333333,0.8999999999999999,1.2999999999999998,0.8,0.25,0.25,0.7857142857142856,0.7058823529411764,0.2631578947368421,1.4444444444444444,0.8333333333333334,0.9766666666666666,1.2785714285714285,1.4666666666666668,1.222222222222222,0.9766666666666666,1.2901098901098902,0.9580086580086581,0.36,1.0,1.1666666666666667,1.0151515151515151,0.36
2008-10-26,Reggina,Lecce,2,0,H,0.0,0.5,1.0,0.0,0.0,1.0,0.8571428571428572,1.5,1.3333333333333333,0.8333333333333333,0.7,1.6,0.4,0.75,0.25,0.49999999999999994,0.5294117647058824,0.5789473684210527,1.4444444444444444,0.8333333333333334,0.5047619047619047,1.2727272727272727,0.8222222222222223,0.3333333333333333,0.5047619047619047,1.2393939393939395,1.3977056277056277,0.6911111111111111,1.9333333333333333,1.2814814814814814,1.4092440892440894,0.7911111111111111
2008-10-26,Sampdoria,Bologna,2,0,H,0.0,1.0,0.5,0.14285714285714285,0.11764705882352944,0.9473684210526316,1.0,1.2142857142857142,1.0,0.8333333333333333,1.1,1.2,0.4,0.0,1.0,0.2857142857142857,0.29411764705882354,0.736842105263158,1.4444444444444444,0.8333333333333334,1.0,1.0533333333333332,0.5555555555555555,1.111111111111111,1.0,1.1904761904761905,1.752857142857143,1.3355166572557877,1.0,1.2,1.7314285714285713,1.3422799422799423
2008-10-26,Udinese,Roma,3,1,H,0.8,0.5,0.0,0.8571428571428572,0.9411764705882353,0.15789473684210525,1.714285714285714,0.9285714285714286,2.041666666666667,0.5833333333333333,1.7000000000000002,0.8999999999999999,0.4,0.25,0.75,0.35714285714285715,0.29411764705882354,0.6842105263157894,1.4444444444444444,0.8333333333333334,1.55,1.087142857142857,1.525,1.0,1.65,1.087142857142857,0.8533333333333333,1.2608097784568373,0.75,1.5666666666666667,0.82,1.2294372294372296
